City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Viedma,AR,-40.8135,-62.9967,45.95,56,0,8.03,clear sky
281,Nizwa,OM,22.9333,57.5333,94.46,23,0,2.86,clear sky
282,Lyubim,RU,58.3625,40.6843,58.5,73,8,3.29,clear sky
283,Batemans Bay,AU,-35.7167,150.1833,65.91,42,2,5.3,clear sky
284,Ekhabi,RU,53.5102,142.9671,34.72,97,100,19.98,light rain
285,Birin,NP,26.8865,88.0718,70.38,72,10,4.16,clear sky
286,Vardo,NO,70.3705,31.1107,41.65,75,39,14.74,scattered clouds
287,Leshukonskoye,RU,64.8989,45.7622,51.8,63,77,7.9,broken clouds
288,Castanos,MX,26.7833,-101.4167,85.35,32,1,4.34,clear sky
289,Deputatskiy,RU,69.3,139.9,38.64,63,94,11.86,overcast clouds
290,Yerbogachen,RU,61.2767,108.0108,57.16,31,83,6.6,broken clouds
291,Burgos,ES,42.3394,-3.7079,46.81,93,0,9.22,clear sky
292,Dingle,PH,10.9995,122.6711,83.07,77,100,7.54,overcast clouds
293,Port Hawkesbury,CA,45.6169,-61.3485,68.92,76,1,9.22,clear sky
294,Tarija,BO,-21.5355,-64.7296,54.43,90,31,1.36,scattered clouds
295,Saint-Pierre,RE,-21.3393,55.4781,71.56,94,90,8.05,light rain
296,Mabaruma,GY,8.2,-59.7833,73.54,98,100,4.38,overcast clouds
297,Sijunjung,ID,-0.6876,100.9537,85.19,56,30,1.79,scattered clouds
298,Dukat,RU,62.55,155.55,45.7,71,76,12.24,broken clouds
299,Bacolod,PH,10.6667,122.95,82.71,79,83,13.44,broken clouds
300,Saravena,CO,6.9538,-71.8752,71.76,98,94,2.46,overcast clouds
301,Husavik,IS,66.0449,-17.3389,46.31,78,77,4.81,broken clouds
302,Goderich,CA,43.7501,-81.7165,77.32,47,9,17.27,clear sky
303,Makakilo City,US,21.3469,-158.0858,82.72,56,75,10.36,broken clouds
304,Chongwe,ZM,-15.3292,28.682,52.38,78,60,9.86,broken clouds
305,Redmond,US,47.674,-122.1215,59.88,79,99,3.0,overcast clouds
306,Tomatlan,MX,19.9333,-105.25,79.74,72,97,2.95,overcast clouds
